"Članica";"Kratica";"Program";"Členitev";"Način";"Stopnja";"Letnik";"Spol";"Državljanstvo";"UTEZ"
"Fakulteta za gradbeništvo in geodezijo";"UL FGG";"Geodezija in geoinformatika";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - razvojno raziskovalni program";"Energetsko in procesno strojništvo";"REDNI";"druga stopnja";"Absolventi";"M";"REPUBLIKA SEVERNA MAKEDONIJA";1
"Pedagoška fakulteta";"UL PEF";"Predšolska vzgoja";"Ni členitve";"IZREDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Pedagoška fakulteta";"UL PEF";"Dvopredmetni učitelj";"Fizika - Matematika";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Pedagoška fakulteta";"UL PEF";"Predšolska vzgoja";"Ni členitve";"IZREDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Pedagoška fakulteta";"UL PEF";"Predšolska vzgoja";"Ni členitve";"IZREDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Pedagoška fakulteta";"UL PEF";"Predšolska vzgoja";"Ni členitve";"IZREDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Pedagoška fakulteta";"UL PEF";"Predšolska vzgoja";"Ni členitve";"IZREDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Pedagoška fakulteta";"UL PEF";"Predšolska vzgoja";"Ni členitve";"IZREDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Pedagoška fakulteta";"UL PEF";"Predšolska vzgoja";"Ni členitve";"IZREDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Pedagoška fakulteta";"UL PEF";"Predšolska vzgoja";"Ni členitve";"IZREDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za šport";"UL FŠ";"Športno treniranje";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za šport";"UL FŠ";"Kineziologija";"Kinezioterapija";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za šport";"UL FŠ";"Športno treniranje";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za šport";"UL FŠ";"Kineziologija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za šport";"UL FŠ";"Kineziologija";"Kinezioterapija";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za šport";"UL FŠ";"Kineziologija";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za šport";"UL FŠ";"Športna vzgoja";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za šport";"UL FŠ";"Športno treniranje";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za šport";"UL FŠ";"Športna vzgoja";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za šport";"UL FŠ";"Športna vzgoja";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za šport";"UL FŠ";"Kineziologija";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Univerzitetna poslovna in ekonomska šola";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Visoka poslovna šola";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Univerzitetna poslovna in ekonomska šola";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Univerzitetna poslovna in ekonomska šola";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Univerzitetna poslovna in ekonomska šola";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Univerzitetna poslovna in ekonomska šola";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Univerzitetna poslovna in ekonomska šola";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Univerzitetna poslovna in ekonomska šola";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Visoka poslovna šola";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Visoka poslovna šola";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"REPUBLIKA SEVERNA MAKEDONIJA";1
"Fakulteta za družbene vede";"UL FDV";"Sociologija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Kulturologija - Študije kultur in ustvarjalnosti";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Komunikologija - Medijske in komunikacijske študije";"Ni členitve";"REDNI";"druga stopnja";"Prvi";"Ž";"BOSNA IN HERCEGOVINA";1
"Fakulteta za družbene vede";"UL FDV";"Komunikologija - Tržno komuniciranje in odnosi z javnostmi";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Politologija - Primerjalne javne politike in uprava ";"Ni členitve";"REDNI";"druga stopnja";"Prvi";"Ž";"ČRNA GORA";1
"Fakulteta za družbene vede";"UL FDV";"Politologija - Študije politike in države";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Mednarodni odnosi";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Sociologija";"Študije vsakdanjega življenja in spolov";"REDNI";"druga stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Mednarodno poslovanje";"Ni členitve";"REDNI";"druga stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Management";"Ni členitve";"REDNI";"druga stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Management";"Ni členitve";"REDNI";"druga stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Visoka poslovna šola";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Podjetništvo";"Ni členitve";"REDNI";"druga stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Mednarodno poslovanje";"Ni členitve";"REDNI";"druga stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Visoka poslovna šola";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Visoka poslovna šola";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Univerzitetna poslovna in ekonomska šola";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Mednarodno poslovanje";"Ni členitve";"REDNI";"druga stopnja";"Prvi";"M";"KOSOVO";1
"Fakulteta za družbene vede";"UL FDV";"Obramboslovje";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Obramboslovje in varnostne študije";"Ni členitve";"REDNI";"druga stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Komunikologija - Medijske in komunikacijske študije";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Sociologija - kadrovski menedžment";"7002991";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Komunikologija - Medijske in komunikacijske študije";"Ni členitve";"REDNI";"druga stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Komunikologija - Tržno komuniciranje in odnosi z javnostmi";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Mednarodni odnosi";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Politologija - Javne politike in uprava";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Sociologija - kadrovski menedžment";"7002991";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Politologija - Študije politike in države";"Ni členitve";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Politologija - Javne politike in uprava";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Politologija - Študije politike in države";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Sociologija - kadrovski menedžment";"7002991";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Novinarstvo";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Sociologija - kadrovski menedžment";"7002991";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Sociologija - kadrovski menedžment";"7002991";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Sociologija - kadrovski menedžment";"7002991";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Družboslovna informatika";"Digitalne tehnologije in družba";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Novinarstvo";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Aplikativna elektrotehnika";"Elektronika";"REDNI";"prva stopnja";"Absolventi";"M";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Aplikativna elektrotehnika";"Elektronika";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Elektrotehnika";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Aplikativna elektrotehnika";"Energetska tehnika in avtomatizacija postrojev (ETAP)";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Elektrotehnika";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Uporabna statistika";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"M";"SLOVENIJA";1
"Fakulteta za računalništvo in informatiko";"UL FRI";"Računalništvo in informatika";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Fakulteta za računalništvo in informatiko";"UL FRI";"Računalništvo in informatika";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Fakulteta za arhitekturo";"UL FA";"Urbanizem";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Fakulteta za arhitekturo";"UL FA";"Arhitektura";"Ni členitve";"REDNI";"druga stopnja";"Četrti";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Germanistika";"Germanistika - enopredmetna smer";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Psihologija";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Psihologija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Psihologija";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Geografija";"Enopredmetna smer: Regionalno planiranje in urbano-ruralne študije - Geografija turizma";"REDNI";"druga stopnja";"Absolventi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Arheologija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Psihologija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - enopredmetna pedagoška smer";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Prevajanje (slovenščina-angleščina-nemščina)";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Umetnostna zgodovina";"Umetnostna zgodovina - enopredmetna smer";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Anglistika";"Anglistika - enopredmetna smer";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Anglistika";"Anglistika - enopredmetna pedagoška smer";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za gradbeništvo in geodezijo";"UL FGG";"Operativno gradbeništvo";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Fakulteta za gradbeništvo in geodezijo";"UL FGG";"Gradbeništvo";"Nizke gradnje";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za gradbeništvo in geodezijo";"UL FGG";"Gradbeništvo";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"M";"ČRNA GORA";1
"Fakulteta za gradbeništvo in geodezijo";"UL FGG";"Vodarstvo in okoljsko inženirstvo";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Univerzitetna poslovna in ekonomska šola";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Visoka poslovna šola";"Management";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Univerzitetna poslovna in ekonomska šola";"Trženje";"REDNI";"prva stopnja";"Tretji";"Ž";"REPUBLIKA SEVERNA MAKEDONIJA";1
"Pedagoška fakulteta";"UL PEF";"Predšolska vzgoja";"Ni členitve";"IZREDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Pedagoška fakulteta";"UL PEF";"Predšolska vzgoja";"Ni členitve";"IZREDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Teološka fakulteta";"UL TEOF";"Religiologija in etika";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"M";"SLOVENIJA";1
"Fakulteta za pomorstvo in promet";"UL FPP";"Tehnologija prometa";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za pomorstvo in promet";"UL FPP";"Pomorsko strojništvo";"Splošna smer";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Pravna fakulteta";"UL PF";"Pravo";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Pravna fakulteta";"UL PF";"Pravo";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Pravna fakulteta";"UL PF";"Pravo";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Pravna fakulteta";"UL PF";"Pravo";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Pravna fakulteta";"UL PF";"Pravo";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Pravna fakulteta";"UL PF";"Pravo";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Pravna fakulteta";"UL PF";"Pravo";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Fakulteta za šport";"UL FŠ";"Športna vzgoja";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za šport";"UL FŠ";"Športna vzgoja";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za šport";"UL FŠ";"Kineziologija";"Kinezioterapija";"REDNI";"druga stopnja";"Drugi";"M";"SLOVENIJA";1
"Fakulteta za šport";"UL FŠ";"Kineziologija";"Kinezioterapija";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za šport";"UL FŠ";"Kineziologija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za šport";"UL FŠ";"Športno treniranje";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za šport";"UL FŠ";"Športno treniranje";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - projektno aplikativni program";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - projektno aplikativni program";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - projektno aplikativni program";"Mehatronika";"REDNI";"prva stopnja";"Absolventi";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - razvojno raziskovalni program";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - razvojno raziskovalni program";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - projektno aplikativni program";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Visoka poslovna šola";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"BOSNA IN HERCEGOVINA";1
